" - Connecticut,""41.66704"",""-72.66648"",""-"",""Not recorded"",""Introduced"",""Not recorded"",""-"",""USDA-NRCS (2009)"",""-""";;;
" - Delaware,""39.00039"",""-75.49992"",""-"",""Not recorded"",""Introduced"",""Not recorded"",""-"",""USDA-NRCS (2009)"",""-""";;;
" - Illinois,""40.00032"",""-89.25037"",""-"",""Not recorded"",""Introduced"",""Not recorded"",""-"",""USDA-NRCS (2009)"",""-""";;;
" - Maine,""45.50032"",""-69.24977"",""-"",""Not recorded"",""Introduced"",""Not recorded"",""-"",""USDA-NRCS (2009)"",""-""";;;
" - Maryland,""39.00039"",""-76.74997"",""-"",""Not recorded"",""Introduced"",""Not recorded"",""-"",""USDA-NRCS (2009)"",""-""";;;
" - Massachusetts,""42.36565"",""-71.10832"",""-"",""Not recorded"",""Introduced"",""Not recorded"",""-"",""USDA-NRCS (2009)"",""-""";;;
" - Michigan,""44.25029"",""-85.50033"",""-"",""Not recorded"",""Introduced"",""Not recorded"",""-"",""USDA-NRCS (2009)"",""-""";;;
" - Minnesota,""46.25024"",""-94.25055"",""-"",""Not recorded"",""Introduced"",""Not recorded"",""-"",""USDA-NRCS (2009)"",""-""";;;
" - Missouri,""38.25031"",""-92.50046"",""-"",""Not recorded"",""Introduced"",""Not recorded"",""-"",""USDA-NRCS (2009)"",""-""";;;
" - New Hampshire,""43.66702"",""-71.4998"",""-"",""Not recorded"",""Introduced"",""Not recorded"",""-"",""USDA-NRCS (2009)"",""-""";;;
" - New Jersey,""40.16706"",""-74.49987"",""-"",""Not recorded"",""Introduced"",""Not recorded"",""-"",""USDA-NRCS (2009)"",""-""";;;
" - New York,""43.00035"",""-75.4999"",""-"",""Not recorded"",""Introduced"",""Not recorded"",""-"",""USDA-NRCS (2009)"",""-""";;;
" - Ohio,""40.25034"",""-83.00018"",""-"",""Not recorded"",""Introduced"",""Not recorded"",""-"",""USDA-NRCS (2009)"",""-""";;;
" - Pennsylvania,""40.27245"",""-76.90567"",""-"",""Not recorded"",""Introduced"",""Not recorded"",""-"",""USDA-NRCS (2009)"",""-""";;;
" - Rhode Island,""41.75038"",""-71.49978"",""-"",""Not recorded"",""Introduced"",""Not recorded"",""-"",""USDA-NRCS (2009)"",""-""";;;
" - Vermont,""44.00034"",""-72.74983"",""-"",""Not recorded"",""Introduced"",""Not recorded"",""-"",""USDA-NRCS (2009)"",""-""";;;
" - Virginia,""37.54812"",""-77.44675"",""-"",""Not recorded"",""Introduced"",""Not recorded"",""-"",""USDA-NRCS (2009)"",""-""";;;
" - Washington,""47.50012"",""-120.50147"",""-"",""Not recorded"",""Introduced"",""Not recorded"",""-"",""USDA-NRCS (2009)"",""-""";;;
" - West Virginia,""38.50038"",""-80.50009"",""-"",""Not recorded"",""Introduced"",""Not recorded"",""-"",""USDA-NRCS (2009)"",""-""";;;
" - Wisconsin,""44.50024"",""-90.00041"",""-"",""Not recorded"",""Introduced"",""Not recorded"",""-"",""USDA-NRCS (2009)"",""-""";;;
"Australia,""-25"",""135"",""-"",""Not recorded"",""-"",""Not recorded"",""-"",""CABI (Undated a)"",""Present based on regional distribution.""";;;
" - South Australia,""-30"",""135"",""Localized"",""Not recorded"",""Introduced"",""Not recorded"",""-"",""UK, Royal Botanic Garden Edinburgh (2009)"",""Adelaide""";;;
"New Zealand,""-42"",""174"",""-"",""Not recorded"",""Introduced"",""Not recorded"",""Naturalized"",""Landcare (2009)"",""Naturalised""";;;
