Tablepotatoes.code;Tablepotatoes.name;Tablepotatoes.mean;Tablepotatoes.perc;Gherkin.code;Gherkin.name;Gherkin.mean;Gherkin.perc;Aspargus.code;Aspargus.name;Aspargus.mean;Aspargus.perc;Cauliflower.code;Cauliflower.name;Cauliflower.mean;Cauliflower.perc;Broccoli.code;Broccoli.name;Broccoli.mean;Broccoli.perc;Kale.code;Kale.name;Kale.mean;Kale.perc;Carrot.code;Carrot.name;Carrot.mean;Carrot.perc;Whitecabbage.code;Whitecabbage.name;Whitecabbage.mean;Whitecabbage.perc;Celeriac.code;Celeriac.name;Celeriac.mean;Celeriac.perc;Onions.code;Onions.name;Onions.mean;Onions.perc;Parsnip.code;Parsnip.name;Parsnip.mean;Parsnip.perc;Rootparsley.code;Rootparsley.name;Rootparsley.mean;Rootparsley.perc;Leek.code;Leek.name;Leek.mean;Leek.perc;Beet.code;Beet.name;Beet.mean;Beet.perc;Redcabbage.code;Redcabbage.name;Redcabbage.mean;Redcabbage.perc;Lettuce.code;Lettuce.name;Lettuce.mean;Lettuce.perc;Savoycabbage.pointedcabbage.code;Savoycabbage.pointedcabbage.name;Savoycabbage.pointedcabbage.mean;Savoycabbage.pointedcabbage.perc;Spinach.code;Spinach.name;Spinach.mean;Spinach.perc;Sweetcorn.code;Sweetcorn.name;Sweetcorn.mean;Sweetcorn.perc;Peas.code;Peas.name;Peas.mean;Peas.perc;Jerusalemartichoke.code;Jerusalemartichoke.name;Jerusalemartichoke.mean;Jerusalemartichoke.perc;Leafparsley.code;Leafparsley.name;Leafparsley.mean;Leafparsley.perc;Pumpkin.code;Pumpkin.name;Pumpkin.mean;Pumpkin.perc;Rhubarb.code;Rhubarb.name;Rhubarb.mean;Rhubarb.perc;Strawberry.code;Strawberry.name;Strawberry.mean;Strawberry.perc;Blackcurrant.code;Blackcurrant.name;Blackcurrant.mean;Blackcurrant.perc;Redcurrant.code;Redcurrant.name;Redcurrant.mean;Redcurrant.perc;Gooseberry.code;Gooseberry.name;Gooseberry.mean;Gooseberry.perc;Raspberry.code;Raspberry.name;Raspberry.mean;Raspberry.perc;Blueberry.code;Blueberry.name;Blueberry.mean;Blueberry.perc;Sourcherry.code;Sourcherry.name;Sourcherry.mean;Sourcherry.perc;Plum.code;Plum.name;Plum.mean;Plum.perc;Sweetcherry.code;Sweetcherry.name;Sweetcherry.mean;Sweetcherry.perc;Elder.code;Elder.name;Elder.mean;Elder.perc;Hazel.code;Hazel.name;Hazel.mean;Hazel.perc;Apple.code;Apple.name;Apple.mean;Apple.perc;Pear.code;Pear.name;Pear.mean;Pear.perc;Winegrape.code;Winegrape.name;Winegrape.mean;Winegrape.perc;Rosehip.code;Rosehip.name;Rosehip.mean;Rosehip.perc;Tomato.code;Tomato.name;Tomato.mean;Tomato.perc;Cucumber.code;Cucumber.name;Cucumber.mean;Cucumber.perc;
75;173;Kløver til slæt;2.8E-05;0.0;268;Græs under 50% kløver/lucerne, lavt udbytte (omdrift);2.78E-07;0;268;Græs under 50% kløver/lucerne, lavt udbytte (omdrift);7.39E-07;0.074729746;160;Sukkerroer til fabrik;8.92E-07;0.002757556;254;Miljøgræs MVJ-tilsagn (0 N), permanent;1.14E-06;0;285;Græs og kløvergræs uden norm, over 50 % kløver (omdrift);3.69E-07;0;108;Rødsvingelfrø;8.58E-06;0;254;Miljøgræs MVJ-tilsagn (0 N), permanent;1.34E-06;0.003784438;320;Braklagte randzoner;1.24E-07;0;604;MFO - El;3.94E-06;0;108;Rødsvingelfrø;5.62E-07;0;5;Majs til modenhed;4.30E-07;0;404;Broccoli;6.04E-07;0.26909735;263;Græs uden kløvergræs (omdrift);1.07E-06;0.026656792;101;Rajgræsfrø, alm.;6.38E-07;0.147724773;409;Kinakål;1.72E-06;0.69521432;508;Andre af slægten Vaccinium;4.17E-07;0;323;MFO-udyrket areal ved vandboring;3.66E-07;0;160;Sukkerroer til fabrik;1.56E-06;0.030987444;151;Kartofler, stivelses-;8.73E-06;0.184142135;30;Ærter;5.52E-07;0.390850084;210;Vårbyg, helsæd;5.96E-07;0;10;Vinterbyg;1.14E-06;0.598523966;579;Tagetes, sygdomssanerende plante;2.32E-07;0;583;Juletræer og pyntegrønt på landbrugsjord;9.32E-06;0.037612585;423;Sukkermajs;7.29E-06;0.013687841;252;Permanent græs, normalt udbytte;5.00E-07;0;519;Blåbær;6.57E-08;0.419631639;267;Græs  under 50% kløver/lucerne, meget lavt udbytte (omdrift);4.29E-07;0.079617834;532;Anden buskfrugt;1.62E-06;1.038958692;215;Ærtehelsæd;1.63E-05;0;262;Lucernegræs, over 50% lucerne (omdrift);6.76E-07;0.017630465;527;Hassel;2.52E-06;0.006185057;102;Rajgræsfrø, alm. 1. år, efterårsudlagt;9.24E-08;0;583;Juletræer og pyntegrønt på landbrugsjord;2.04E-07;0.552377329;518;Hindbær;1.81E-05;0.007405223;152;Kartofler, spise-;3.68E-06;0.101620792;658;Gulerodsfrø;2.21E-06;0;539;Blandet frugt;2.92E-07;0.332991803;124;Spinatfrø;3.70E-07;0;1;Vårbyg;6.31E-07;0
71;162;Blanding, andre industriafgr.;2.8E-05;0.0;210;Vårbyg, helsæd;2.78E-07;0;31;Hestebønner;7.39E-07;0;10;Vinterbyg;8.92E-07;2.741765544;263;Græs uden kløvergræs (omdrift);1.14E-06;0.005195345;361;Ikke støtteberettiget landbrugsareal;3.69E-07;0;583;Juletræer og pyntegrønt på landbrugsjord;8.58E-06;0.001605519;263;Græs uden kløvergræs (omdrift);1.34E-06;0.22008545;406;Grønkål;1.23E-07;0.270671883;491;Storfrugtet tranebær;3.94E-06;0;583;Juletræer og pyntegrønt på landbrugsjord;5.62E-07;0;150;Kartofler, lægge- (egen opformering);4.30E-07;0.105444785;411;Løg;6.02E-07;1.225038607;153;Kartofler, andre;1.07E-06;0.184502775;251;Permanent græs, lavt udbytte;6.38E-07;0;25;Sojabønner;1.72E-06;0;423;Sukkermajs;4.11E-07;1.081597171;921;Bar jord;3.66E-07;0;24;Solsikke;1.56E-06;0.020218187;113;Engrapsgræsfrø (plænetype);8.73E-06;0.299308081;160;Sukkerroer til fabrik;5.52E-07;0;230;Blanding af vårkorn, grønkorn;5.96E-07;0;448;Medicinpl., en- og toårige;1.14E-06;0.0144453;284;"Græs med vikke og andre bælgplanter, under 50 % bælgpl.
";2.28E-07;0;108;Rødsvingelfrø;9.32E-06;0.082573124;124;Spinatfrø;7.29E-06;0.005865447;15;Vinterhybridrug;5.00E-07;0.060405304;515;Ribs;6.53E-08;0.391687042;210;Vårbyg, helsæd;4.29E-07;0;517;Brombær;1.62E-06;0.057077626;280;Fodersukkerroer;1.63E-05;0;5;Majs til modenhed;6.76E-07;0;214;Korn og bælgsæd, helsæd, under 50% bælgsæd;2.52E-06;0;113;Engrapsgræsfrø (plænetype);9.24E-08;0;15;Vinterhybridrug;2.04E-07;0;255;Permanent græs, under 50% kløver/lucerne;1.81E-05;0.009458174;150;Kartofler, lægge- (egen opformering);3.68E-06;0;258;Permanent græs, ø-støtte;2.17E-06;0;660;Persillefrø;2.85E-07;0.136808756;150;Kartofler, lægge- (egen opformering);3.70E-07;0;7;Korn + bælgsæd under 50% bælgsæd;6.31E-07;0.581395349
138;310;Brak, sommerslåning;2.8E-05;0.1;16;Vintertriticale;2.78E-07;0.224480151;250;Permanent græs, meget lavt udbytte;7.39E-07;0;276;Permanent græs og kløvergræs uden norm, under 50 % kløver;8.92E-07;0;3;Vårhavre;1.14E-06;1.757186827;487;Skovlandbrug;3.69E-07;0;30;Ærter;8.58E-06;0.32153981;400;Asieagurker;1.34E-06;0.015137754;13;Vinterhvede, brødhvede;1.23E-07;5.669124141;13;Vinterhvede, brødhvede;3.94E-06;4.18862796;230;Blanding af vårkorn, grønkorn;5.62E-07;0;214;Korn og bælgsæd, helsæd, under 50% bælgsæd;4.30E-07;0;172;Lucernegræs, over 25% græs til slæt inkl. eget foder;6.01E-07;0.392706872;172;Lucernegræs, over 25% græs til slæt inkl. eget foder;1.07E-06;0.120944792;108;Rødsvingelfrø;6.38E-07;0;579;Tagetes, sygdomssanerende plante;1.72E-06;0;25;Sojabønner;4.04E-07;0;496;Medicinpl., vedplanter;3.66E-07;0;2;Vårhvede;1.56E-06;0.407902322;583;Juletræer og pyntegrønt på landbrugsjord;8.73E-06;0.000752287;276;Permanent græs og kløvergræs uden norm, under 50 % kløver;5.52E-07;0.030826141;310;Brak, sommerslåning;5.96E-07;0;15;Vinterhybridrug;1.14E-06;1.560142219;249;Udnyttet græs ved vandboring;2.28E-07;0;222;Vinterrug, helsæd;9.32E-06;0.016624161;280;Fodersukkerroer;7.29E-06;0;254;Miljøgræs MVJ-tilsagn (0 N), permanent;5.00E-07;0;1;Vårbyg;6.51E-08;5.779894889;250;Permanent græs, meget lavt udbytte;4.29E-07;0;518;Hindbær;1.62E-06;0.262265804;30;Ærter;1.63E-05;0;214;Korn og bælgsæd, helsæd, under 50% bælgsæd;6.76E-07;0;511;Græskar;2.52E-06;0.018555171;150;Kartofler, lægge- (egen opformering);9.24E-08;0;254;Miljøgræs MVJ-tilsagn (0 N), permanent;2.04E-07;0;150;Kartofler, lægge- (egen opformering);1.81E-05;0;102;Rajgræsfrø, alm. 1. år, efterårsudlagt;3.68E-06;0;536;Spisedruer;2.17E-06;0;1;Vårbyg;2.81E-07;0.115104886;215;Ærtehelsæd;3.70E-07;0;267;Græs  under 50% kløver/lucerne, meget lavt udbytte (omdrift);6.31E-07;0.446428571
112;264;Græs og kløvergræs uden norm, under 50 % kløver (omdrift);2.8E-05;0.0;230;Blanding af vårkorn, grønkorn;2.78E-07;0;257;Permanent græs, uden kløver;7.39E-07;0.006319515;101;Rajgræsfrø, alm.;8.92E-07;0;255;Permanent græs, under 50% kløver/lucerne;1.14E-06;0.362426895;287;Græs til udegrise, permanent;3.69E-07;0;280;Fodersukkerroer;8.58E-06;0.221163699;3;Vårhavre;1.34E-06;1.535957122;405;Courgette, squash;1.23E-07;0.095129376;320;Braklagte randzoner;3.93E-06;0;150;Kartofler, lægge- (egen opformering);5.62E-07;0.15061768;31;Hestebønner;4.30E-07;0;407;Gulerod;6.01E-07;1.267299523;513;Jordbær;1.07E-06;0.196592029;120;Kløverfrø;6.38E-07;0.181405724;283;Fodergulerødder;1.71E-06;0;579;Tagetes, sygdomssanerende plante;4.04E-07;0;284;"Græs med vikke og andre bælgplanter, under 50 % bælgpl.
";3.58E-07;0;13;Vinterhvede, brødhvede;1.56E-06;0.038067553;268;Græs under 50% kløver/lucerne, lavt udbytte (omdrift);8.73E-06;0.019873486;101;Rajgræsfrø, alm.;5.52E-07;0.236820428;250;Permanent græs, meget lavt udbytte;5.96E-07;0;252;Permanent græs, normalt udbytte;1.14E-06;0.154523661;258;Permanent græs, ø-støtte;2.15E-07;0;268;Græs under 50% kløver/lucerne, lavt udbytte (omdrift);9.32E-06;0.04080568;592;Pil;7.29E-06;0;263;Græs uden kløvergræs (omdrift);5.00E-07;0.136512559;11;Vinterhvede;6.51E-08;3.290811921;230;Blanding af vårkorn, grønkorn;4.29E-07;0;514;Solbær;1.62E-06;1.53722742;312;20-årig udtagning;1.63E-05;0;257;Permanent græs, uden kløver;6.76E-07;0;5;Majs til modenhed;2.52E-06;0;106;Hundegræsfrø;9.24E-08;0;263;Græs uden kløvergræs (omdrift);2.04E-07;0;102;Rajgræsfrø, alm. 1. år, efterårsudlagt;1.81E-05;0;215;Ærtehelsæd;3.68E-06;0;711;Grønkorn af vintertriticale;2.17E-06;0;11;Vinterhvede;2.81E-07;1.559106483;102;Rajgræsfrø, alm. 1. år, efterårsudlagt;3.70E-07;0;11;Vinterhvede;6.31E-07;0.775193798
188;432;Krydderurter (undtagen persille og purløg);2.8E-05;0.0;424;Ærter, konsum;2.78E-07;0.100806452;16;Vintertriticale;7.39E-07;0.200034341;408;Hvidkål;8.92E-07;0.056783422;160;Sukkerroer til fabrik;1.14E-06;0;323;MFO-udyrket areal ved vandboring;3.69E-07;0;24;Solsikke;8.58E-06;0.013697266;160;Sukkerroer til fabrik;1.34E-06;0.133472609;513;Jordbær;1.23E-07;0.733012737;415;Porre;3.93E-06;0.210221679;264;Græs og kløvergræs uden norm, under 50 % kløver (omdrift);5.62E-07;0;257;Permanent græs, uden kløver;4.30E-07;0;413;Rodpersille;6.01E-07;0.121914051;431;Purløg;1.07E-06;0.007120478;583;Juletræer og pyntegrønt på landbrugsjord;6.38E-07;0;281;Kålroer;1.66E-06;0.136227704;403;Blomkål;4.01E-07;1.818052771;249;Udnyttet græs ved vandboring;3.58E-07;0;276;Permanent græs og kløvergræs uden norm, under 50 % kløver;1.56E-06;0;210;Vårbyg, helsæd;8.73E-06;0.000806452;151;Kartofler, stivelses-;5.52E-07;0;264;Græs og kløvergræs uden norm, under 50 % kløver (omdrift);5.96E-07;0.040716612;11;Vinterhvede;1.14E-06;14.05173311;536;Spisedruer;2.15E-07;0;230;Blanding af vårkorn, grønkorn;9.32E-06;0.00626155;215;Ærtehelsæd;7.29E-06;0;3;Vårhavre;5.00E-07;0.003886816;512;Rabarber;6.50E-08;0.043402778;255;Permanent græs, under 50% kløver/lucerne;4.29E-07;0.109011628;410;Knoldselleri;1.62E-06;0.189655172;592;Pil;1.63E-05;0;124;Spinatfrø;6.76E-07;0;310;Brak, sommerslåning;2.52E-06;0;120;Kløverfrø;9.24E-08;0;3;Vårhavre;2.04E-07;0.636645963;30;Ærter;1.81E-05;0.000764713;531;Anden træfrugt;3.68E-06;0.008101571;532;Anden buskfrugt;2.11E-06;0.471024606;260;Græs med kløver/lucerne, under 50 % bælgpl. (omdrift);2.81E-07;0.111156023;30;Ærter;3.70E-07;0;264;Græs og kløvergræs uden norm, under 50 % kløver (omdrift);6.31E-07;0.678294574
94;235;Blanding af vinterkorn, grønkorn;2.8E-05;0.0;310;Brak, sommerslåning;2.78E-07;0;230;Blanding af vårkorn, grønkorn;7.39E-07;0.012683917;24;Solsikke;8.92E-07;0.006931608;13;Vinterhvede, brødhvede;1.14E-06;0;921;Bar jord;3.69E-07;0;13;Vinterhvede, brødhvede;8.58E-06;0.881546249;268;Græs under 50% kløver/lucerne, lavt udbytte (omdrift);1.34E-06;0.680958115;652;Kinesisk kålfrø;1.23E-07;0.358481699;22;Vinterraps;3.92E-06;0.825499882;511;Græskar;5.62E-07;0.015796125;124;Spinatfrø;4.30E-07;0;432;Krydderurter (undtagen persille og purløg);5.99E-07;0.095165648;423;Sukkermajs;1.07E-06;0.097996612;268;Græs under 50% kløver/lucerne, lavt udbytte (omdrift);6.38E-07;0.043196544;450;Grøntsager, blandinger;1.64E-06;1.198589512;404;Broccoli;3.95E-07;1.508093048;360;Vildtafgrøder;3.55E-07;0;101;Rajgræsfrø, alm.;1.56E-06;0.335759699;407;Gulerod;8.73E-06;0.143563631;214;Korn og bælgsæd, helsæd, under 50% bælgsæd;5.52E-07;0.185337727;5;Majs til modenhed;5.96E-07;0;1;Vårbyg;1.14E-06;16.8929082;658;Gulerodsfrø;2.14E-07;0;408;Hvidkål;9.32E-06;0.063713019;517;Brombær;7.29E-06;0.001466362;517;Brombær;5.00E-07;0.004602356;310;Brak, sommerslåning;6.50E-08;1.027851459;264;Græs og kløvergræs uden norm, under 50 % kløver (omdrift);4.29E-07;0.039808917;268;Græs under 50% kløver/lucerne, lavt udbytte (omdrift);1.62E-06;1.650943396;267;Græs  under 50% kløver/lucerne, meget lavt udbytte (omdrift);1.63E-05;0.04521226;150;Kartofler, lægge- (egen opformering);6.76E-07;0;255;Permanent græs, under 50% kløver/lucerne;2.52E-06;0;153;Kartofler, andre;9.24E-08;0;160;Sukkerroer til fabrik;2.04E-07;0;215;Ærtehelsæd;1.81E-05;0.009988014;30;Ærter;3.68E-06;0.051181102;531;Anden træfrugt;2.11E-06;0.407366547;216;Silomajs;2.81E-07;0.203981723;280;Fodersukkerroer;3.70E-07;0;260;Græs med kløver/lucerne, under 50 % bælgpl. (omdrift);6.31E-07;2.192982456
92;230;Blanding af vårkorn, grønkorn;2.8E-05;0.1;250;Permanent græs, meget lavt udbytte;2.78E-07;0;4;Blanding af vårsåede arter;7.39E-07;0.157039367;251;Permanent græs, lavt udbytte;8.92E-07;0.016173752;276;Permanent græs og kløvergræs uden norm, under 50 % kløver;1.14E-06;0;496;Medicinpl., vedplanter;3.69E-07;0;31;Hestebønner;8.58E-06;0.35185634;171;Lucerne, slæt;1.34E-06;0.090826521;402;Bladselleri;1.22E-07;0.117021277;260;Græs med kløver/lucerne, under 50 % bælgpl. (omdrift);3.92E-06;1.696085738;250;Permanent græs, meget lavt udbytte;5.62E-07;0;310;Brak, sommerslåning;4.30E-07;0.210106817;416;Rosenkål;5.98E-07;0.038520801;415;Porre;1.07E-06;0.085042269;16;Vintertriticale;6.38E-07;0;403;Blomkål;1.61E-06;0.743912641;408;Hvidkål;3.93E-07;1.268675575;406;Grønkål;3.37E-07;2.112395504;541;Agurker;1.56E-06;0.007851759;250;Permanent græs, meget lavt udbytte;8.73E-06;0.00312778;24;Solsikke;5.52E-07;0.01029654;214;Korn og bælgsæd, helsæd, under 50% bælgsæd;5.96E-07;0;31;Hestebønner;1.14E-06;0.553820987;507;Hindbær, stiklingeopformering;2.10E-07;0;210;Vårbyg, helsæd;9.32E-06;0.032388927;312;20-årig udtagning;7.29E-06;0;160;Sukkerroer til fabrik;5.00E-07;0.036403349;216;Silomajs;6.50E-08;0;31;Hestebønner;4.29E-07;0;516;Stikkelsbær;1.62E-06;0.086206897;113;Engrapsgræsfrø (plænetype);1.63E-05;0.001372119;102;Rajgræsfrø, alm. 1. år, efterårsudlagt;6.76E-07;0;124;Spinatfrø;2.52E-06;0;267;Græs  under 50% kløver/lucerne, meget lavt udbytte (omdrift);9.24E-08;0.093283582;13;Vinterhvede, brødhvede;2.04E-07;0;280;Fodersukkerroer;1.81E-05;0;280;Fodersukkerroer;3.68E-06;0;539;Blandet frugt;2.11E-06;0.335008375;22;Vinterraps;2.81E-07;0;113;Engrapsgræsfrø (plænetype);3.70E-07;0;216;Silomajs;6.31E-07;0
80;210;Vårbyg, helsæd;2.8E-05;0.1;264;Græs og kløvergræs uden norm, under 50 % kløver (omdrift);2.78E-07;0.229599225;410;Knoldselleri;7.39E-07;0.011061947;583;Juletræer og pyntegrønt på landbrugsjord;8.92E-07;0;409;Kinakål;1.14E-06;0.01444085;544;Snitblomster og snitgrønt;3.68E-07;0.350141273;250;Permanent græs, meget lavt udbytte;8.58E-06;0.003952101;210;Vårbyg, helsæd;1.33E-06;0.257554945;423;Sukkermajs;1.22E-07;0.237906423;124;Spinatfrø;3.92E-06;0.838335536;5;Majs til modenhed;5.62E-07;0;102;Rajgræsfrø, alm. 1. år, efterårsudlagt;4.30E-07;0;417;Rødbede;5.98E-07;0.220087859;160;Sukkerroer til fabrik;1.07E-06;0.006488451;250;Permanent græs, meget lavt udbytte;6.38E-07;0;408;Hvidkål;1.60E-06;0.946921704;417;Rødbede;3.93E-07;1.091469938;507;Hindbær, stiklingeopformering;3.30E-07;0;412;Pastinak;1.56E-06;0.037252777;230;Blanding af vårkorn, grønkorn;8.73E-06;0;251;Permanent græs, lavt udbytte;5.52E-07;0.027798369;257;Permanent græs, uden kløver;5.96E-07;0;254;Miljøgræs MVJ-tilsagn (0 N), permanent;1.14E-06;0;910;Ikke anmeldt mark;2.07E-07;0;4;Blanding af vårsåede arter;9.32E-06;0.155209179;150;Kartofler, lægge- (egen opformering);7.29E-06;0.009784736;13;Vinterhvede, brødhvede;5.00E-07;0.010006354;260;Græs med kløver/lucerne, under 50 % bælgpl. (omdrift);6.50E-08;0.248611111;5;Majs til modenhed;4.29E-07;0;11;Vinterhvede;1.62E-06;0.111455141;153;Kartofler, andre;1.63E-05;0;215;Ærtehelsæd;6.76E-07;0;215;Ærtehelsæd;2.52E-06;0;280;Fodersukkerroer;9.24E-08;0;276;Permanent græs og kløvergræs uden norm, under 50 % kløver;2.04E-07;0;113;Engrapsgræsfrø (plænetype);1.81E-05;0.001529426;113;Engrapsgræsfrø (plænetype);3.68E-06;0;524;Sødkirsebær uden undervækst af græs;2.11E-06;0;10;Vinterbyg;2.81E-07;0.010105093;312;20-årig udtagning;3.70E-07;0;22;Vinterraps;6.31E-07;0
105;257;Permanent græs, uden kløver;2.8E-05;0.0;5;Majs til modenhed;2.78E-07;0;214;Korn og bælgsæd, helsæd, under 50% bælgsæd;7.39E-07;0;108;Rødsvingelfrø;8.92E-07;0.087741111;101;Rajgræsfrø, alm.;1.14E-06;0;415;Porre;3.68E-07;0.672934013;36;Bælgsæd, andre typer til modenhed blanding;8.58E-06;0.003036718;276;Permanent græs og kløvergræs uden norm, under 50 % kløver;1.33E-06;0.083863793;17;Blanding af efterårssåede arter;1.22E-07;0.413454447;412;Pastinak;3.92E-06;0.076391718;310;Brak, sommerslåning;5.62E-07;0.09492131;215;Ærtehelsæd;4.30E-07;0;1;Vårbyg;5.98E-07;9.958964298;268;Græs under 50% kløver/lucerne, lavt udbytte (omdrift);1.07E-06;0.470905354;230;Blanding af vårkorn, grønkorn;6.38E-07;0;415;Porre;1.56E-06;0.395818562;450;Grøntsager, blandinger;3.87E-07;0.766608799;149;Kartofler, lægge- (certificerede);3.22E-07;0;151;Kartofler, stivelses-;1.56E-06;0;5;Majs til modenhed;8.73E-06;0.307387993;583;Juletræer og pyntegrønt på landbrugsjord;5.52E-07;0.017135024;31;Hestebønner;5.96E-07;0;263;Græs uden kløvergræs (omdrift);1.14E-06;0.052966102;545;Potteplanter;2.03E-07;0.112903226;250;Permanent græs, meget lavt udbytte;9.32E-06;0.003874826;257;Permanent græs, uden kløver;7.29E-06;0.000733181;276;Permanent græs og kløvergræs uden norm, under 50 % kløver;5.00E-07;0.019277242;22;Vinterraps;6.50E-08;0.035511364;214;Korn og bælgsæd, helsæd, under 50% bælgsæd;4.29E-07;0;1;Vårbyg;1.62E-06;2.4407435;120;Kløverfrø;1.63E-05;0;30;Ærter;6.76E-07;0;150;Kartofler, lægge- (egen opformering);2.52E-06;0;7;Korn + bælgsæd under 50% bælgsæd;9.24E-08;0;101;Rajgræsfrø, alm.;2.04E-07;0;111;Svingelfrø, strand-;1.81E-05;0;111;Svingelfrø, strand-;3.68E-06;0;504;Solbær, stiklingeopformering;2.11E-06;0;252;Permanent græs, normalt udbytte;2.81E-07;0.040420372;153;Kartofler, andre;3.70E-07;0;10;Vinterbyg;6.31E-07;1.065891473
266;656;Bladbedefrø, rødbedefrø;2.8E-05;0.0;214;Korn og bælgsæd, helsæd, under 50% bælgsæd;2.78E-07;0;264;Græs og kløvergræs uden norm, under 50 % kløver (omdrift);7.39E-07;0.015024038;2;Vårhvede;8.92E-07;0.288604704;423;Sukkermajs;1.14E-06;0.048676012;7;Korn + bælgsæd under 50% bælgsæd;3.64E-07;2.050852137;230;Blanding af vårkorn, grønkorn;8.58E-06;0.002981797;512;Rabarber;1.33E-06;0.020721094;450;Grøntsager, blandinger;1.22E-07;0.209284627;450;Grøntsager, blandinger;3.92E-06;0.187200484;268;Græs under 50% kløver/lucerne, lavt udbytte (omdrift);5.62E-07;0.228931977;255;Permanent græs, under 50% kløver/lucerne;4.30E-07;0.006764069;422;Spinat;5.98E-07;0.094588563;13;Vinterhvede, brødhvede;1.07E-06;1.007470115;310;Brak, sommerslåning;6.38E-07;0;418;Rødkål;1.54E-06;0.179813505;418;Rødkål;3.83E-07;0.393681187;910;Ikke anmeldt mark;3.03E-07;0;150;Kartofler, lægge- (egen opformering);1.56E-06;0.543127055;112;Engrapgræsfrø (marktype);8.73E-06;0.165778367;593;Poppel (0-100 andre træer pr. ha);5.52E-07;0.061652281;255;Permanent græs, under 50% kløver/lucerne;5.96E-07;0;215;Ærtehelsæd;1.14E-06;0.268554688;450;Grøntsager, blandinger;2.01E-07;1.243684768;515;Ribs;9.32E-06;0.024973994;113;Engrapsgræsfrø (plænetype);7.29E-06;0.005443066;101;Rajgræsfrø, alm.;5.00E-07;0.003886816;10;Vinterbyg;6.50E-08;0;257;Permanent græs, uden kløver;4.29E-07;0;216;Silomajs;1.62E-06;0;4;Blanding af vårsåede arter;1.63E-05;0;113;Engrapsgræsfrø (plænetype);6.76E-07;0;102;Rajgræsfrø, alm. 1. år, efterårsudlagt;2.52E-06;0;424;Ærter, konsum;9.24E-08;0;151;Kartofler, stivelses-;2.04E-07;0;153;Kartofler, andre;1.81E-05;0;153;Kartofler, andre;3.68E-06;0;509;Trækvæde;2.11E-06;0;15;Vinterhybridrug;2.81E-07;0;111;Svingelfrø, strand-;3.70E-07;0;252;Permanent græs, normalt udbytte;6.31E-07;0
23;31;Hestebønner;2.8E-05;0.5;257;Permanent græs, uden kløver;2.78E-07;0;180;Gul sennep;7.39E-07;0.024053881;268;Græs under 50% kløver/lucerne, lavt udbytte (omdrift);8.92E-07;0.046878447;251;Permanent græs, lavt udbytte;1.14E-06;0;511;Græskar;3.60E-07;1.265371116;410;Knoldselleri;8.58E-06;0.019544001;125;Bederoefrø;1.33E-06;0;415;Porre;1.22E-07;0.226040328;252;Permanent græs, normalt udbytte;3.92E-06;0.009488104;31;Hestebønner;5.62E-07;0;280;Fodersukkerroer;4.30E-07;0;423;Sukkermajs;5.98E-07;0.111541259;276;Permanent græs og kløvergræs uden norm, under 50 % kløver;1.07E-06;0;257;Permanent græs, uden kløver;6.38E-07;0;508;Andre af slægten Vaccinium;1.54E-06;0;424;Ærter, konsum;3.81E-07;0.766879585;402;Bladselleri;2.95E-07;1.355010681;407;Gulerod;1.56E-06;0.141911997;31;Hestebønner;8.73E-06;0.05083582;2;Vårhvede;5.52E-07;0.150871142;124;Spinatfrø;5.96E-07;0;429;Jordskokker, konsum;1.14E-06;0.056208057;281;Kålroer;2.00E-07;0.106837607;403;Blomkål;9.32E-06;0.064912633;255;Permanent græs, under 50% kløver/lucerne;7.29E-06;0;151;Kartofler, stivelses-;5.00E-07;0;252;Permanent græs, normalt udbytte;6.50E-08;0;124;Spinatfrø;4.29E-07;0;260;Græs med kløver/lucerne, under 50 % bælgpl. (omdrift);1.62E-06;0.413019125;7;Korn + bælgsæd under 50% bælgsæd;1.63E-05;0;280;Fodersukkerroer;6.76E-07;0;111;Svingelfrø, strand-;2.52E-06;0;112;Engrapgræsfrø (marktype);9.24E-08;0;14;Vinterrug;2.04E-07;0;312;20-årig udtagning;1.81E-05;0;312;20-årig udtagning;3.68E-06;0;1;Vårbyg;2.11E-06;1.477965662;254;Miljøgræs MVJ-tilsagn (0 N), permanent;2.81E-07;0;120;Kløverfrø;3.70E-07;0;15;Vinterhybridrug;6.31E-07;0
